	Adjustment	Age Group	Best	Comments	Country	Drug Group	High	Low	Method	Source	Year	Longitude	Latitude
71	 	17-64	0,72	 	Sweden	Amphetamines			HHS	ARQ	2013	 18.643501	 60.128161
72	z**	déc-65	0,38	Includes prescription stimulants	El Salvador	Amphetamines	0,54	0,24	HHS	Government Source	2014	 -88.89653	 13.794185
73	 	15-64	0,3	 	France	Amphetamines			HHS	ARQ	2014	 2.213749	 46.227638
74	 	15-64	1,1	2013/14 New Zealand Health Survey	New Zealand	Amphetamines	1,4	0,8	HHS	Government source	2014	 174.885971	 -40.900557
75	 	15-64	0,06	Amphetamines	Chile	Amphetamines			HHS	ARQ	2014	 -71.542969	 -35.675147
76	z*	15-64	1,96	Amphetamines	United States of America	Amphetamines			HHS	ARQ	2014		
77	 	15-64	0,2	Data refers to 2014/2015	Poland	Amphetamines			HHS	ARQ	2014	 19.145136	 51.919438
78	z	15-65	0,04	Includes prescription stimulants	Uruguay	Amphetamines			HHS	ARQ	2014	 -55.765835	 -32.522779
79	 	16-64	1,3	 	Netherlands	Amphetamines			HHS	ARQ	2014	 5.291266	 52.132633
80	 	16-64	0,6	 	Norway	Amphetamines			HHS	ARQ	2014	 8.468946	 60.472024
81	 	18-64	0,1	 	Serbia	Amphetamines			HHS	Government sources	2014	 21.005859	 44.016521
82	a, b, d	15-64	0,48	 	Egypt	Amphetamines	0,52	0,43	HHS, SS	Govt;  Academic Research	2006	 30.802498	 26.820553
83	z*	15-64	0,08	Includes prescription stimulants	Pakistan	Amphetamines	0,2	0,04	HHS/I	Government/UNODC	2012	 69.345116	 30.375321
84	f, g	15-64	0,131978537	 	Iran (Islamic Republic of)	Amphetamines	0,159743284	0,10421379	I	Government source	2010		
85	d, e	15-64	0,43	 	Puerto Rico	Amphetamines	1,06	0,13	SS	Government source	2005	 -66.590149	 18.220833
86	d, e, z	15-64	0,51	 	Paraguay	Amphetamines			SS	UNODC Estimate	2005	 -58.443832	 -23.442503
87	d, e, z	15-64	0,7	 	Trinidad and Tobago	Amphetamines	1,38	0,23	SS	UNODC Estimate	2006	 -61.222503	 10.691803
88	d, e	15-64	0,39	 	Russian Federation	Amphetamines	0,56	0,22	SS	ESPAD	2007		
89	a, c, d, e	15-64	1,39	 	Lao People's Democratic Republic	Amphetamines	1,71	1,07	SS	Academic research	2008		
90	d, e	15-64	0,43	 	Bahamas	Amphetamines	1,06	0,13	SS	ARQ	2008	 -77.39628	 25.03428
91	d, e, z	15-64	0,95	 	Dominican Republic	Amphetamines	2,59	0,04	SS	ARQ	2008	 -70.162651	 18.735693
92	d, e	15-64	0,35	 	Hong Kong SAR, China	Amphetamines	1,11	0,07	SS	Government source	2008		
93	b, d, e	15-64	0,56	 	Georgia	Amphetamines	1,06	0,1	SS	Government source/ NGO/Academic research	2009	 43.356892	 42.315407
94	d	15-64	0,73	 	Luxembourg	Amphetamines	1,25	0,21	SS	ARQ	2010	 6.129583	 49.815273
95	d, e	15-64	0,81	 	Jamaica	Amphetamines	1,5	0,13	SS	ARQ	2010	 -77.297508	 18.109581
96	b, d, e	15-64	0,5	 	Bosnia and Herzegovina	Amphetamines	0,91	0,09	SS	ARQ	2011	 17.679076	 43.915886
97	d, e	15-64	0,72	 	Ukraine	Amphetamines	1,25	0,19	SS	ARQ	2011	 31.16558	 48.379433
98	d, e	15-64	0,93	 	Iceland	Amphetamines	1,57	0,29	SS	ESPAD	2011	 -19.020835	 64.963051
99	d, e	15-64	0,72	 	Montenegro	Amphetamines	1,25	0,19	SS	ESPAD	2011	 19.37439	 42.708678
100	 	15-64	3,5	 	Armenia	Cannabis			 	UNODC Estimate	2003	 45.038189	 40.069099
101	 	15-64	3,5	 	Cambodia	Cannabis			 	UNODC Estimate	2003	 104.990963	 12.565679
102	 	15-64	1,6	 	Malaysia	Cannabis			 	UNODC Estimate	2003	 101.975766	 4.210484
103	e	15-64	4,2	 	Uzbekistan	Cannabis			 	UNODC Estimate	2003	 64.585262	 41.377491
104	 	15-64	1,7	 	Greece	Cannabis			 	ARQ	2004	 21.824312	 39.074208
105	 	15-65	3,5	 	Azerbaijan	Cannabis			 	UNODC Estimate	2004	 47.576927	 40.143105
106	 	déc-64	0,3	 	Taiwan Province of China	Cannabis			 	AMCEWG	2005		
107	 	déc-65	1,6	 	Paraguay	Cannabis			 	UNODC Estimate	2005	 -58.443832	 -23.442503
108	 	15-64	3,1	 	Kuwait	Cannabis			 	UNODC Estimate	2005	 47.481766	 29.31166
109	d, e	15-64	0,94	 	Myanmar	Cannabis			 	UNODC Estimate	2005		
110	 	15-64	5,35	 	United Arab Emirates	Cannabis			 	UNODC Estimate	2006	 53.847818	 23.424076
111	d, e	15-64	2,9	 	Burkina Faso	Cannabis			 	UNODC Estimate	2006	 -1.561593	 12.238333
112	a, b, e	15-64	3,178352023	 	Liberia	Cannabis	4,831544258	1,525159789	 	UNODC Estimate	2008	 -9.429499	 6.428055
113	a	15-54	1,08	 	Mauritius	Cannabis			 	Government source	2009	 57.552152	 -20.348404
114	 	15-64	4,2	 	Bhutan	Cannabis	6,5	1,8	 	UNODC Estimate	2009	 90.433601	 27.514162
115	a, b, e	15-64	5,423099897	 	Sierra Leone	Cannabis	7,324253777	3,521946017	 	UNODC Estimate	2010	 -11.779889	 8.460555
116	h	15-64	1,431865743	 	Sri Lanka	Cannabis	1,43	1,43	 	UNODC Estimate	2010	 80.771797	 7.873054
117	a, c	16-64	8,8	 	Brazil	Cannabis			 	UNODC Estimate	2011	 -51.92528	 -14.235004
118	 	15-64	2,55	 	Maldives	Cannabis			 	Government source	2012	 73.22068	 3.202778
119	 	15-64	3,6	 	Pakistan	Cannabis	4	3,1	 	Government/UNODC	2012	 69.345116	 30.375321
120	d, e	déc-65	3,55	 	Panama	Cannabis	3,7	3,4	HHS	UNODC Estimate	2003	 -80.782127	 8.537981
121	a, e,f	15-54	3,3	 	Bangladesh	Cannabis			HHS	Academic research	2004	 90.356331	 23.684994
122	 	15-64	4,22	 	Morocco	Cannabis			HHS	ARQ	2004	 -7.09262	 31.791702
123	c, e	15-64	0,29	 	Republic of Korea	Cannabis	0,55	0,07	HHS	ARQ	2004		
124	 	déc-65	8,45	 	Belize	Cannabis			HHS	CICAD	2005	 -88.49765	 17.189877
125	 	15-64	8,3	 	Barbados	Cannabis			HHS	CICAD	2006	 -59.543198	 13.193887
126	 	déc-65	1,2	 	Thailand	Cannabis			HHS	ARQ	2007	 100.992541	 15.870032
127	 	déc-65	4,25	 	Suriname	Cannabis	4,7	3,8	HHS	Government source	2007	 -56.027783	 3.919305
128	b, e	15-65	2,1	 	Kenya	Cannabis	4	0,3	HHS	Govt	2007	 37.906193	 -0.023559
129	 	18-64	2,3	 	Hungary	Cannabis	2,9	1,7	HHS	ARQ	2007	 19.503304	 47.162494
130	 	oct-64	0,74	 	Philippines	Cannabis			HHS	ARQ	2008	 121.774017	 12.879721
131	 	15-64	3,5	 	Austria	Cannabis			HHS	ARQ	2008	 14.550072	 47.516231
132	 	15-64	6	 	Estonia	Cannabis			HHS	ARQ	2008	 25.013607	 58.595272
133	a, b, e	15-64	14,3	 	Nigeria	Cannabis	16,83873391	11,75824988	HHS	ARQ	2008	 8.675277	 9.081999
134	 	15-64	4,28	 	Afghanistan	Cannabis	5,18	3,37	HHS	UNODC/ Govt. Source	2009	 67.709953	 33.93911
135	 	16-65	10,9	 	Bermuda	Cannabis	11,2	10,7	HHS	Government source	2009	 -64.75737	 32.321384
136	 	18-40	8,88	 	Israel	Cannabis	8,9	8,9	HHS	ARQ	2009	 34.851612	 31.046051
137	a	oct-60	0,5	 	Indonesia	Cannabis			HHS	ARQ	2010	 113.921327	 -0.789275
138	 	déc-65	1,03	 	Peru	Cannabis			HHS	ARQ	2010	 -75.015152	 -9.189967
139	 	12+	0,52	 	Algeria	Cannabis			HHS	ARQ	2010	 1.659626	 28.033886
140	 	15-64	2,76	 	Costa Rica	Cannabis			HHS	ARQ	2010	 -83.753428	 9.748917
141	 	15-64	4,6	 	Finland	Cannabis			HHS	ARQ	2010	 25.748151	 61.92411
142	 	15-64	3,63	 	Slovakia	Cannabis			HHS	EMCDDA	2010	 19.699024	 48.669026
143	 	15-64	0,7	 	Republic of Moldova	Cannabis			HHS	Government source	2010		
144	 	déc-65	3,2	 	Argentina	Cannabis			HHS	ARQ	2011	 -63.616672	 -38.416097
145	 	déc-65	1,56	 	Venezuela (Bolivarian Republic of)	Cannabis			HHS	Government source	2011		
146	 	déc-65	1,2	 	Mexico	Cannabis	1,46	0,96	HHS	Government Source	2011	 -102.552784	 23.634501
147	 	15-64	6	 	Ireland	Cannabis			HHS	ARQ	2011	 -8.24389	 53.41291
148	 	15-64	4	 	Latvia	Cannabis			HHS	ARQ	2011	 24.603189	 56.879635
149	 	15-64	0,3	 	Turkey	Cannabis			HHS	EMCDDA	2011	 35.243322	 38.963745
150	e	15-64	0,3	 	Japan	Cannabis			HHS	UNODC Estimate	2011	 138.252924	 36.204824
151	 	15-64	5,1	Data refers to 2010/11	United Kingdom (Northern Ireland)	Cannabis			HHS	Government source	2011		
152	 	15-64	3,5	 	Bulgaria	Cannabis			HHS	ARQ	2012	 25.48583	 42.733883
153	 	15-64	7,47	 	Chile	Cannabis			HHS	ARQ	2012	 -71.542969	 -35.675147
154	 	15-64	2,2	 	Cyprus	Cannabis			HHS	ARQ	2012	 33.429859	 35.126413
155	 	15-64	2,3	 	Lithuania	Cannabis			HHS	ARQ	2012	 23.881275	 55.169438
156	 	15-64	2,7	 	Portugal	Cannabis			HHS	ARQ	2012	 -8.224454	 39.399872
157	 	15-64	4,4	 	Slovenia	Cannabis			HHS	ARQ	2012	 14.995463	 46.151241
158	 	15-64	5	 	Croatia	Cannabis			HHS	EMCDDA	2012	 15.2	 45.1
159	 	15-64	2,4	 	Cabo Verde	Cannabis			HHS	UNODC/Govt.	2012		
160	 	18-64	4,5	 	Germany	Cannabis			HHS	ARQ	2012	 10.451526	 51.165691
161	 	18-67	18,3	 	Iceland	Cannabis			HHS	ARQ	2012	 -19.020835	 64.963051
162	 	déc-64	0,67	 	Ecuador	Cannabis			HHS	Encuesta Nacional Sobre el uso de drogas	2013	 -78.183406	 -1.831239
163	 	déc-65	1,27	 	Bolivia (Plurinational State of)	Cannabis			HHS	ARQ	2013		
164	 	déc-65	3,27	 	Colombia	Cannabis	3,6	2,94	HHS	ARQ	2013	 -74.297333	 4.570868
165	 	14+	10,2	 	Australia	Cannabis			HHS	ARQ	2013	 133.775136	 -25.274398
166	 	15-64	4,6	 	Belgium	Cannabis			HHS	ARQ	2013	 4.469936	 50.503887
167	 	15-64	8,9	 	Czech Republic	Cannabis			HHS	ARQ	2013	 15.472962	 49.817492
168	 	15-64	9,2	 	Spain	Cannabis			HHS	ARQ	2013	 -3.74922	 40.463667
169	 	15-64	0,9	 	Malta	Cannabis			HHS	ARQ	2013	 14.375416	 35.937496
170	 	15-64	2	 	Romania	Cannabis			HHS	ARQ	2013	 24.96676	 45.943161
171	 	15-64	2,6	 	Tunisia	Cannabis			HHS	ARQ	2013	 9.537499	 33.886917
172	 	15-64	9,2	Data refers to 2013/14	Italy	Cannabis			HHS	Government source	2013	 12.56738	 41.87194
173	 	15+	12,7	 	Canada	Cannabis			HHS	ARQ	2013	 -106.346771	 56.130366
174	 	15+	11	2012/13 New Zealand Health Survey: Drug Module	New Zealand	Cannabis	11,7	10,3	HHS	Government source	2013	 174.885971	 -40.900557
175	 	16-59	6,6	Data refers to 2013/14. Crime Survey for England and Wales. Data relating to before 2013/14 may vary slightly from more recent data published due to revised reference population.	United Kingdom (England and Wales)	Cannabis			HHS	ARQ	2013		
176	 	16-64	6,9	 	Denmark	Cannabis			HHS	ARQ	2013	 9.501785	 56.26392
177	 	16-64	6,5	Data refers to 2012/13	United Kingdom (Scotland)	Cannabis			HHS	Government source	2013		
178	 	déc-65	2,03	 	El Salvador	Cannabis	3,67	1,12	HHS	Government source	2014	 -88.89653	 13.794185
179	 	15-64	6,7	 	Switzerland	Cannabis			HHS	ARQ	2014	 8.227512	 46.818188
180	 	15-64	11,1	 	France	Cannabis			HHS	ARQ	2014	 2.213749	 46.227638
181	 	15-64	8	 	Netherlands	Cannabis			HHS	ARQ	2014	 5.291266	 52.132633
182	 	15-64	2,88	 	Sweden	Cannabis			HHS	ARQ	2014	 18.643501	 60.128161
183	 	15-64	16,2	 	United States of America	Cannabis			HHS	ARQ	2014		
184	 	15-64	4,6	Data refers to 2014/15	Poland	Cannabis			HHS	ARQ	2014	 19.145136	 51.919438
185	 	15-65	9,3	 	Uruguay	Cannabis			HHS	ARQ	2014	 -55.765835	 -32.522779
186	 	16-64	4,2	 	Norway	Cannabis			HHS	ARQ	2014	 8.468946	 60.472024
187	 	18-64	1,6	 	Serbia	Cannabis			HHS	Government source	2014	 21.005859	 44.016521
188	 	déc-65	1,07	 	Nicaragua	Cannabis	1,07	1,06	HHS, c	UNODC Estimate	2006	 -85.207229	 12.865416
189	c, d	déc-65	4,8	 	Guatemala	Cannabis			HHS, SS	UNODC Estimate	2005	 -90.230759	 15.783471
190	a, d	15-64	6,24	 	Egypt	Cannabis	9,58	2,9	HHS, SS	Govt;  Academic Research	2006	 30.802498	 26.820553
191	d, e	15-64	0,67	 	Macao SAR, China	Cannabis			R	UNODC Estimate	2003		
192	 	15-64	0,3	 	Saudi Arabia	Cannabis			R	Government source/ NGO/Academic research	2006	 45.079162	 23.885942
193	d, e	15-64	7,6	 	Greenland	Cannabis			SS	ESPAD	2003	 -42.604303	 71.706936
194	d, e	15-64	5,08	 	Fiji	Cannabis	7,12	3,04	SS	Government source	2004	 179.414413	 -16.578193
195	d, e	15-64	9,5	 	Zambia	Cannabis	15,6	4	SS	Govt;  Academic Research	2004	 27.849332	 -13.133897
196	d, e	déc-65	0,83	 	Honduras	Cannabis	1,59	0,41	SS	UNODC Estimate	2005	 -86.241905	 15.199999
197	d, e	15-64	4,88	 	Puerto Rico	Cannabis	6,65	3,1	SS	Government source	2005	 -66.590149	 18.220833
198	d, e	15-64	1,8	 	Albania	Cannabis			SS	Government source	2006	 20.168331	 41.153332
199	c, d, e	15-64	1,07	 	Belarus	Cannabis	1,3	0,9	SS	ESPAD	2007	 27.953389	 53.709807
200	d, e	15-64	3,49	 	Russian Federation	Cannabis	3,51	3,46	SS	ESPAD	2007		
201	d, e	15-64	5,54	 	Bahamas	Cannabis	7,89	3,2	SS	ARQ	2008	 -77.39628	 25.03428
202	d, e	15-64	0,31	 	Dominican Republic	Cannabis	1,41	0,25	SS	ARQ	2008	 -70.162651	 18.735693
203	d, e	15-64	0,63	 	The former Yugoslav Republic of Macedonia	Cannabis	2,38	0,46	SS	ESPAD	2008		
204	d, e	15-64	0,4	 	Hong Kong SAR, China	Cannabis	1,99	0,23	SS	Government source	2008		
205	c, d	15-64	0,88	 	Lao People's Democratic Republic	Cannabis	1,07	0,69	SS	UNODC report	2008		
206	b, d, e	15-64	2,7	 	Georgia	Cannabis	4,3	1,2	SS	Government source/ NGO/Academic research	2009	 43.356892	 42.315407
207	d, e	15-64	2	 	Lebanon	Cannabis	3,5	0,5	SS	Government source/MEDSPAD	2009	 35.862285	 33.854721
208	d, e	15-64	1	 	Togo	Cannabis	3,1	0,2	SS	UNODC Estimate	2009	 0.824782	 8.619543
209	d	15-64	5,2	 	Luxembourg	Cannabis	7,1	3,2	SS	ARQ	2010	 6.129583	 49.815273
210	d, e	15-64	4,04	 	Guyana	Cannabis	6,53	1,56	SS	UNODC Estimate	2010	 -58.93018	 4.860416
211	d, e	15-64	1,51	 	Haiti	Cannabis	2,75	0,26	SS	UNODC Estimate	2010	 -72.285215	 18.971187
212	d, e	15-64	7,21	 	Jamaica	Cannabis	10,17	4,25	SS	UNODC Estimate	2010	 -77.297508	 18.109581
213	d, e	15-64	8,87	 	Saint Lucia	Cannabis	12,1	5,64	SS	UNODC Estimate	2010	 -60.978893	 13.909444
214	d, e	15-64	4,03	 	Trinidad and Tobago	Cannabis	6,52	1,55	SS	UNODC Estimate	2010	 -61.222503	 10.691803
215	d, e	15-64	3,65	 	South Africa	Cannabis	4,42	2,88	SS	ARQ	2011	 22.937506	 -30.559482
216	d	15-64	1,6	 	Bosnia and Herzegovina	Cannabis	2,888430044	0,320095083	SS	ESPAD	2011	 17.679076	 43.915886
217	d	15-64	1,9	 	Montenegro	Cannabis	3,302200241	0,426793444	SS	ESPAD	2011	 19.37439	 42.708678
218	d	15-64	2,9	 	Ukraine	Cannabis	4,6	1,2	SS	UNODC Estimate	2011	 31.16558	 48.379433
219	d	15-64	2,4	 	Kazakhstan	Cannabis	4,3	0,6	SS	ARQ	2012	 66.923684	 48.019573
220	d, e	15-64	9,1	 	Madagascar	Cannabis			SS, A	ARQ	2004	 46.869107	 -18.766947
221	 	15-64	0,04	 	Turkey	Cocaine			 	UNODC Estimate	2003	 35.243322	 38.963745
222	 	15-64	0,1	 	Greece	Cocaine			 	ARQ	2004	 21.824312	 39.074208
223	 	15-64	0,05	 	Morocco	Cocaine			 	ARQ	2004	 -7.09262	 31.791702
224	 	déc-35	0,87	 	Honduras	Cocaine			 	ARQ	2005	 -86.241905	 15.199999
225	 	15-64	0,1	 	Taiwan Province of China	Cocaine			 	AMCEWG	2005		
226	g	15-64	0,04	 	Kuwait	Cocaine			 	UNODC Estimate	2005	 47.481766	 29.31166
227	g	15-64	0,001	 	Syrian Arab Republic	Cocaine			 	UNODC Estimate	2005		
228	 	15-64	0,08	 	The former Yugoslav Republic of Macedonia	Cocaine			 	INCSR	2007		
229	 	18-40	1,065	 	Israel	Cocaine	1,19	0,94	 	ARQ	2009	 34.851612	 31.046051
230	a, c	16-64	1,75	 	Brazil	Cocaine			 	UNODC Estimate	2011	 -51.92528	 -14.235004
231	 	15-64	0,01	 	Pakistan	Cocaine	0,02	0,0001	 	Government/UNODC	2012	 69.345116	 30.375321
232	 	déc-64	0,25	 	Paraguay	Cocaine	0,3	0,2	HHS	UNODC Estimate	2003	 -58.443832	 -23.442503
233	 	déc-65	1,2	 	Panama	Cocaine			HHS	Government source	2003	 -80.782127	 8.537981
234	e, f	15-64	0,03	 	Republic of Korea	Cocaine			HHS	ARQ	2004		
235	 	déc-65	0,85	 	Belize	Cocaine			HHS	CICAD	2005	 -88.49765	 17.189877
236	 	15-64	0,21	 	Guatemala	Cocaine			HHS	ARQ	2005	 -90.230759	 15.783471
237	 	15-64	0,1	 	Armenia	Cocaine			HHS	UNODC Estimate	2005	 45.038189	 40.069099
238	 	15-64	0,03	 	Philippines	Cocaine			HHS	UNODC Estimate	2005	 121.774017	 12.879721
239	 	15-64	0,4	 	Barbados	Cocaine			HHS	CICAD	2006	 -59.543198	 13.193887
240	 	déc-65	0,3	 	Suriname	Cocaine			HHS	Government source	2007	 -56.027783	 3.919305
241	e	15-64	0,05	 	Thailand	Cocaine			HHS	ARQ	2007	 100.992541	 15.870032
242	b, e	15-65	0,3	 	Kenya	Cocaine	0,4	0,2	HHS	Government source	2007	 37.906193	 -0.023559
243	 	18-64	0,2	 	Hungary	Cocaine	0,4	0	HHS	ARQ	2007	 19.503304	 47.162494
244	 	15-64	0,9	 	Austria	Cocaine			HHS	ARQ	2008	 14.550072	 47.516231
245	 	15-64	0,6	 	Estonia	Cocaine			HHS	ARQ	2008	 25.013607	 58.595272
246	a, b, e	15-64	0,695667161	 	Nigeria	Cocaine	1,112271407	0,279062916	HHS	ARQ	2008	 8.675277	 9.081999
247	e	15-64	0,04	 	Republic of Moldova	Cocaine	0,06	0,02	HHS	Government sources	2008		
248	 	16-64	0,6	Cocaine/crack	New Zealand	Cocaine	0,8	0,3	HHS	Government source	2008	 174.885971	 -40.900557
249	 	15-64	0,001	 	Afghanistan	Cocaine			HHS	UNODC/ Govt. Source	2009	 67.709953	 33.93911
250	 	16-65	1,3	 	Bermuda	Cocaine	1,6	1	HHS	Government source	2009	 -64.75737	 32.321384
